DrugName,dosage,Form
Amoxicillin,500,Cap
Amoxicillin,250,Cap
Amoxicillin,125/5,Susp.
Ampicloxicillin,500,Cap
Ampiclox Neonatal,90,
Antibiotic Ointment,,
ASA(Aspirin),,
Ascorbic Acid/Vitamin C,200,
Atenolol,50,
Betamethazone Ointment,0.001,
Boric Acid,,
Cetrizine,10,
Chloramphenicol,150,
Chloramphenicol,0.005,
Chlorphenarimine (Piriton),4mg,
Chlorphenarimine (Piriton),Syrup,5L jugs
Cipro,500,
Clotrimazole,30g,
Clotrimazole,0.01,Cream
Clotrimazole,200mg,Pessaries
Cloxacillin,250,
Crepe Bandage,Large,
Crepe Bandage,Small,
Diazepam,5mg,
Diclofenac,50mg,
Doxyccline,100,
Ducolox (Bisacodyl),5,
Enalapril,5,
Enhancin,625,
Erythromycin,250,
Erythromycin,200/5,Susp.
Fansidar (Methomine S),25/500,
Flagyl/Metronidazole,400,
Flagyl/Metronidazole,200,
Flagyl/Metronidazole,200/5,Susp.
FeSO4 (Ferrous Sulfate),200,
Fe/Folate (Folic Acid),5,
Gentamycin,0.003,Eye Drops
Griseofulvin,250,
HCTZ,50,
Hydrocortisone,100,
Hyoscine,,
Ibuprofen,400,
Ibuprofen,200,
Ibuprofen,100/5,Susp.
FeSO4 (Ferrous Sulfate),Syrup,5L jugs
Cephalexin (Keflex),125/5,
Mebendazole,100,
(Magnesium)Antacid Tablets,,
Antacid Liquids,,
Multivitamin,,Tab
Multivitamin Syrup,,5L jugs
Nitrofurantoin,100,
Nystatin,30ml,
Omeprazole,20mg,
Paracetamol,500,
Paracetamol,100,
Paracetamol,120/5,5L jugs
Parafin,Liquid,5L jugs
Phenobarbital,30,
Prednisone,5,
Prednisolone,5ml,
Promethazine,25,
Promethazine,,5L jugs
Quinine,300,
Quinine,20%/15ml,Drops
Ranitidine,150mg,
Rubem,0.05,Cream
Secnidazole,500,
Septra (Co-Trimoxazole),900/60,
Septra (Co-Trimoxazole),400/80,
Septra (Co-Trimoxazole),200/40,
Septra (Co-Trimoxazole),100-20/5,Susp.
Tetracycline Opth. Oint.,0.001,
Throatasil,,
Tinidazole,500,
Salbutamol,2mg/5,
Salbutamol,4mg,
Vit. B Complex,,
ACT (Under 6) Falcimon,,
ACT (Adults),,
ACT (Children 7-13) IDA,,
Aminophylline,100mg,
Amitryptyline,25mg,
Atropine,.6mg/vial,
Beclomethasone 100micgram,100/puff,
Beclomethazone 80mcg,100/puff,
Beclomethasone 40mcg,100/puff,
Benzhexol,5mg,
Menzylpenicillin,5miu,
Carbamazepine(Tegeretol),200,
Ceftriaxone,500,
Ceftriaxone,15/vial,
Cetrizine,5mg/5,
Chloramphenicol,1g/vial,
Chlorpromazine,25,
Cloxacillin,500,
Dexamethazone,1m,
Diazepam,5/vial,
Diclofenac,100/3,
Enhancin,375,
Frusemide,10mg/ml,
Furazolidone,100mg,
Gacet,250mg,
Gacet,125mg,
Gentamycin,40/vial,
Gentamycin,80/vial,
Hyoscine,20,
Ketoconazole,200,
KY Jelly,,
Levamsole,8,
Levamsole,4mg/5,
Lidocaine,0.01,
Lidocaine,0.02,
Lignocaine,0.02,
Mebendazole,200,
Metformin,5,
Methylated Spirit,,
Metoclopromide,10mg,
Metronidazole,500mg/ml,
Nifedipine,20,
Paracetamol,150/vial,
Penicillin Benzathine,2.4miu,
Promethazine,25/ml,
Propanolol,40mg,
Quinine,200,
Ranitidine,300,
Ranitidine,50mg/2ml,
Salbutamol,100/puff,
Salbutamol,0.005,
Silvadene,0.01,
Theophyline/Ephedrine,150-12,
Vitamin K,10/ml,
Amoxycillin,500,Tab
